Name,API_Name,Instance_Memory,vCPUs,GiB_of_Memory_per_vCPU,GPUs,Instance_Storage,On_Demand,Linux_Reserved_cost,Windows_Reserved_Cost,Windows_Spot_Cost,Service_Provider
Standard NC12s v3,NC12s v3,224.0 GiB,12 vCPUs,18.67 GiB/vCPU,2X V100,1474,$6.1200 hourly,$3.8984 hourly,$4.4504 hourly,$1.6907 hourly,Microsoft Azure
M32-16ms,M32-16ms,875.0 GiB,32 vCPUs,27.34 GiB/vCPU,0,1024,$6.1460 hourly,$3.5344 hourly,$5.0064 hourly,$0.8428 hourly,Microsoft Azure
Standard M32dms v2,M32dms v2,875.0 GiB,32 vCPUs,27.34 GiB/vCPU,0,1024,$6.1460 hourly,$3.5745 hourly,$5.0465 hourly,$0.7618 hourly,Microsoft Azure
Standard M32ms,M32ms,875.0 GiB,32 vCPUs,27.34 GiB/vCPU,0,1024,$6.1460 hourly,$3.5344 hourly,$5.0064 hourly,$0.8428 hourly,Microsoft Azure
M48s1 v3,M48s1 v3,974.0 GiB,48 vCPUs,20.29 GiB/vCPU,0,0,$6.2300 hourly,$3.6234 hourly,$5.8314 hourly,$2.1100 hourly,Microsoft Azure
Standard L80as v3,L80as v3,640.0 GiB,80 vCPUs,8.00 GiB/vCPU,0,800,$6.2400 hourly,$3.9936 hourly,$7.6736 hourly,$1.0932 hourly,Microsoft Azure
Standard L80s v2,L80s v2,640.0 GiB,80 vCPUs,8.00 GiB/vCPU,0,800,$6.2400 hourly,$3.9749 hourly,$7.6549 hourly,$0.9920 hourly,Microsoft Azure
Standard E96ads v5,E96ads v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,3600,$6.2880 hourly,$3.7099 hourly,$8.1259 hourly,$1.0704 hourly,Microsoft Azure
Standard EC96ads v5,EC96ads v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,2400,$6.2880 hourly,$5.0304 hourly,$9.4464 hourly,$7.4928 hourly,Microsoft Azure
E96ads v6,E96ads v6,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,3400,$6.3360 hourly,unavailable,unavailable,$2.6880 hourly,Microsoft Azure
E64as v6,E64as v6,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,0,$6.4130 hourly,unavailable,unavailable,$0.8672 hourly,Microsoft Azure
Standard M64s v2,M64s v2,1024.0 GiB,64 vCPUs,16.00 GiB/vCPU,0,0,$6.4590 hourly,$3.7563 hourly,$6.7003 hourly,$0.9403 hourly,Microsoft Azure
Standard NV72ads A10 v5,NV72ads A10 v5,880.0 GiB,72 vCPUs,12.22 GiB/vCPU,2X A10,1400,$6.5200 hourly,$4.1728 hourly,$7.4848 hourly,$2.4580 hourly,Microsoft Azure
Standard NP40s,NP40s,768.0 GiB,40 vCPUs,19.20 GiB/vCPU,0,2800,$6.6000 hourly,$4.1646 hourly,unavailable,unavailable,Microsoft Azure
M48ds1 v3,M48ds1 v3,974.0 GiB,48 vCPUs,20.29 GiB/vCPU,0,400,$6.6200 hourly,$3.8502 hourly,$6.0582 hourly,$2.2075 hourly,Microsoft Azure
Standard M64,M64-16ms,1750.0 GiB,64 vCPUs,27.34 GiB/vCPU,0,2048,$6.6690 hourly,$3.8352 hourly,$6.7792 hourly,$0.9613 hourly,Microsoft Azure
Standard M64ds v2,M64ds v2,1024.0 GiB,64 vCPUs,16.00 GiB/vCPU,0,2048,$6.6690 hourly,$3.8786 hourly,$6.8227 hourly,$0.9613 hourly,Microsoft Azure
Standard M64s,M64s,1024.0 GiB,64 vCPUs,16.00 GiB/vCPU,0,2048,$6.6690 hourly,$3.8352 hourly,$6.7792 hourly,$0.9613 hourly,Microsoft Azure
Standard E96ds v5,E96ds v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,3600,$6.9120 hourly,$4.0781 hourly,$8.4941 hourly,$1.1328 hourly,Microsoft Azure
Standard E96d v5,E96d v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,3600,$6.9120 hourly,$4.0781 hourly,$8.4941 hourly,$1.1328 hourly,Microsoft Azure
Standard EC96iads v5,EC96iads v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,2400,$6.9170 hourly,$5.5335 hourly,$9.9495 hourly,$7.9331 hourly,Microsoft Azure
Standard L80s v3,L80s v3,640.0 GiB,80 vCPUs,8.00 GiB/vCPU,0,800,$6.9600 hourly,$4.4544 hourly,$8.1344 hourly,$1.0640 hourly,Microsoft Azure
E96bs v5,E96bs v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,0,$7.1520 hourly,$4.2196 hourly,$8.6356 hourly,$1.1568 hourly,Microsoft Azure
HB176-144rs v4,HB176-144rs v4,640.0 GiB,176 vCPUs,3.64 GiB/vCPU,0,3600,$7.2000 hourly,$5.4001 hourly,$13.4961 hourly,$3.8240 hourly,Microsoft Azure
HB176rs v4,HB176rs v4,656.0 GiB,176 vCPUs,3.73 GiB/vCPU,0,3600,$7.2000 hourly,$5.4001 hourly,$13.4961 hourly,$3.8240 hourly,Microsoft Azure
Standard E104is v5,E104is v5,672.0 GiB,104 vCPUs,6.46 GiB/vCPU,0,0,$7.2070 hourly,$4.2523 hourly,$9.0363 hourly,$1.1991 hourly,Microsoft Azure
Standard E104i v5,E104i v5,672.0 GiB,104 vCPUs,6.46 GiB/vCPU,0,0,$7.2070 hourly,$4.2523 hourly,$9.0363 hourly,$1.1991 hourly,Microsoft Azure
Standard NC48ads A100 v4,NC48ads A100 v4,440.0 GiB,48 vCPUs,9.17 GiB/vCPU,2X A100,1916,$7.3460 hourly,$4.8021 hourly,$7.0100 hourly,$1.2516 hourly,Microsoft Azure
E96bds v5,E96bds v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,3600,$8.0160 hourly,$4.7294 hourly,$9.1455 hourly,$1.2432 hourly,Microsoft Azure
Standard E104ids v5,E104ids v5,672.0 GiB,104 vCPUs,6.46 GiB/vCPU,0,3900,$8.2370 hourly,$4.8597 hourly,$9.6437 hourly,$1.3021 hourly,Microsoft Azure
Standard E104id v5,E104id v5,672.0 GiB,104 vCPUs,6.46 GiB/vCPU,0,3900,$8.2370 hourly,$4.8597 hourly,$9.6437 hourly,$1.3021 hourly,Microsoft Azure
Standard NC24s v2,NC24s v2,448.0 GiB,24 vCPUs,18.67 GiB/vCPU,4X P100,2948,$8.2800 hourly,unavailable,unavailable,$1.0062 hourly,Microsoft Azure
Standard ND24s,ND24s,448.0 GiB,24 vCPUs,18.67 GiB/vCPU,4X P40,2948,$8.2800 hourly,$5.2742 hourly,$6.3782 hourly,$0.9972 hourly,Microsoft Azure
